id,name,type,region,minx,miny,maxx,maxy,acres,state,lon,lat,DungenessCrab,BayShrimp,GreenSturgeon,LeopardShark,BatRay,CaliforniaHalibut,EnglishSole,StarryFlounder,ShinerPerch,StaghornSculpin,PacificHerring,BrownRockfish,Steelhead,CohoSalmon,ChinookSalmon,SoKJoin,NFHPJoin,Rating_2015,biotic_acres
1000,Point Roberts,Embayment/Bay,Salish Sea,-123.08,48.97,-123.05,48.98,211,WA,-123.067,48.978,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:114.5|2.7:25.65|2.8:0.22
1001,Drayton Harbor,Embayment/Bay,Salish Sea,-122.79,48.94,-122.69,49.0,2397,WA,-122.755,48.973,JP,,,P,,,,,,,P,,P,P,P,2,1,2,2.5:1459.33|2.6:21.36|2.6.1:16.32|2.6.1.1:19.64|2.7:9.07|2.8:23.37
1002,Birch Bay,Embayment/Bay,Salish Sea,-122.79,48.89,-122.73,48.94,1674,WA,-122.751,48.927,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:961.07|2.6:30.86|2.7:81.45|2.8:40.71
1003,Nooksack River,Major River Delta,Salish Sea,-122.72,48.71,-122.53,48.91,15867,WA,-122.581,48.768,JP,,,P,,,,,,,P,,P,P,P,2,2,1,2.5:6336.34|2.6:3809.74|2.6.1:4.97|2.6.1.1:393.33|2.7:353.02|2.7.1:31.62|2.7.1.1:60.58|2.8:787.68|2.8.1:68.44
1004,Padden Creek,Embayment/Bay,Salish Sea,-122.51,48.72,-122.51,48.72,8,WA,-122.508,48.721,JP,,,P,,,,,,,P,,P,P,P,2,3,1,2.7:0.02|2.8:0.05
1005,Chuckanut Bay,Embayment/Bay,Salish Sea,-122.51,48.69,-122.49,48.7,112,WA,-122.501,48.7,JP,,,P,,,,,,,P,,P,P,P,2,3,1,2.5:18.73|2.6:0.23|2.6.1.1:2.77|2.7:3.18|2.8:2.51
1006,Nelson Bay,Embayment/Bay,Salish Sea,-123.19,48.59,-123.17,48.61,159,WA,-123.183,48.601,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:1.02|2.5.1:4.49|2.6:0.01|2.6.1.1:26.29|2.8:0.29
1007,Westcott Bay,Embayment/Bay,Salish Sea,-123.15,48.6,-123.14,48.61,196,WA,-123.143,48.603,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:0.79|2.6:0.77|2.6.1.1:5.55|2.7:1.15|2.8:1.29
1008,Rocky Bay,Embayment/Bay,Salish Sea,-123.11,48.6,-123.1,48.6,11,WA,-123.103,48.6,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.7:0.39|2.8:0.71
1009,Garrison Bay,Embayment/Bay,Salish Sea,-123.16,48.58,-123.15,48.59,163,WA,-123.156,48.585,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:0.56|2.6.1.1:1.81|2.7:0.13|2.8:2.41
1010,Blind Bay,Embayment/Bay,Salish Sea,-122.95,48.57,-122.93,48.58,129,WA,-122.941,48.578,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:0.9|2.7:0.23|2.8:0.67
1011,Squaw Bay,Embayment/Bay,Salish Sea,-122.95,48.56,-122.94,48.56,57,WA,-122.947,48.56,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:7.8|2.6:2.79|2.7:0.26|2.8:0.39
1012,Argyle Lagoon,Lagoonal Estuary,Salish Sea,-123.01,48.52,-123.01,48.52,15,WA,-123.012,48.521,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:0.46|2.8:0.09
1013,Fisherman Bay,Embayment/Bay,Salish Sea,-122.94,48.5,-122.91,48.53,530,WA,-122.918,48.511,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:155.61|2.6:12.04|2.6.1.1:33|2.7:1.5|2.8:1.47
1014,False Bay,Embayment/Bay,Salish Sea,-123.08,48.48,-123.06,48.49,261,WA,-123.069,48.486,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:3.33|2.5.1:0.07|2.6:5.11|2.7:2.36|2.8:1.77
1015,Davis Bay,Embayment/Bay,Salish Sea,-122.92,48.45,-122.9,48.46,113,WA,-122.915,48.454,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:85.35|2.7:5.42|2.8:1.25
1016,Barlow Bay,Embayment/Bay,Salish Sea,-122.88,48.43,-122.86,48.44,155,WA,-122.863,48.437,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:9.92|2.6:20.61|2.6.1.1:2.55|2.7:7.78|2.8:1.66
1017,Samish Bay,Major River Delta,Salish Sea,-122.53,48.48,-122.39,48.64,16520,WA,-122.457,48.582,JP,,,P,,,,,P,,P,,P,P,P,2,2,1,2.5:3995.84|2.6:7420.38|2.6.1:2.88|2.6.1.1:91.98|2.7:60.22|2.7.1:42.52|2.8:62.44
1018,Padilla Bay,Embayment/Bay,Salish Sea,-122.57,48.42,-122.4,48.58,21137,WA,-122.504,48.484,JP,,,P,,,P,,P,,P,,P,P,P,2,2,1,2.5:12255.4|2.6:5481.64|2.6.1:6.1|2.6.1.1:221.51|2.7:143.18|2.8:290.35
1019,Fidalgo Bay,Embayment/Bay,Salish Sea,-122.61,48.46,-122.56,48.52,2249,WA,-122.586,48.492,JP,,,P,,,P,,P,,P,,P,P,P,2,2,1,2.5:584.46|2.6:10.01|2.6.1.1:27.03|2.7:3.46|2.8:3.77
1020,Ship Harbor Lagoon,Lagoonal Estuary,Salish Sea,-122.68,48.5,-122.67,48.51,13,WA,-122.677,48.502,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.5:4.4|2.6:2.02|2.6.1:0.34|2.7:0.83|2.8:4.18
1021,Flounder Bay,Embayment/Bay,Salish Sea,-122.68,48.49,-122.68,48.5,49,WA,-122.681,48.493,JP,,,P,,,,,,,P,,P,P,P,2,999,5,2.6:0.12|2.8:0.08
1022,Simik Bay,Embayment/Bay,Salish Sea,-122.58,48.43,-122.54,48.46,835,WA,-122.566,48.443,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:56.72|2.6:9.45|2.6.1.1:52.06|2.7:3.35|2.8:5.93
1023,Bowman Bay,Embayment/Bay,Salish Sea,-122.66,48.41,-122.65,48.42,96,WA,-122.653,48.415,JP,,,P,,,,,,,P,,P,P,P,2,3,2,2.6:1.03|2.6.1.1:1.66|2.7:1.63|2.8:1.29
1024,Dugualla Bay,Embayment/Bay,Salish Sea,-122.65,48.35,-122.56,48.38,1615,WA,-122.612,48.352,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:185.07|2.6:491.77|2.6.1.1:23.57|2.7:17.58|2.8:23.46
1025,Skagit Bay,Major River Delta,Salish Sea,-122.56,48.27,-122.22,48.5,42365,WA,-122.448,48.321,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:7533.51|2.6:17987.5|2.6.1:179.27|2.6.1.1:3287|2.7:384.99|2.7.1:196.33|2.7.1.1:70.44|2.8:266.78|2.8.1:291.09
1026,Crescent Harbor Salt Marsh,Lagoonal Estuary,Salish Sea,-122.62,48.29,-122.6,48.31,260,WA,-122.609,48.299,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.6:208.16|2.7:6.13|2.8:2.75
1027,Freund Marsh,Lagoonal Estuary,Salish Sea,-122.67,48.28,-122.65,48.29,75,WA,-122.663,48.281,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:1.66|2.6:43.01|2.7:1.48|2.8:0.79
1028,Maylor Point,Lagoonal Estuary,Salish Sea,-122.64,48.27,-122.64,48.28,64,WA,-122.641,48.277,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.6:2.76|2.6.1.1:49.91|2.7:2.17|2.8:0.02
1029,Grasser's Lagoon,Lagoonal Estuary,Salish Sea,-122.74,48.23,-122.73,48.23,19,WA,-122.733,48.233,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.5:12.3|2.6:1.52|2.6.1.1:2.87|2.7:0|2.8:0.07
1030,Kennedys Lagoon,Lagoonal Estuary,Salish Sea,-122.74,48.23,-122.73,48.23,13,WA,-122.736,48.227,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.6:0.21|2.7:0.02|2.8:0.42
1031,Perigo's Lagoon,Lagoonal Estuary,Salish Sea,-122.74,48.2,-122.72,48.2,46,WA,-122.732,48.2,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.6:8.28|2.7:0.08
1032,Harrington Lagoon,Lagoonal Estuary,Salish Sea,-122.61,48.21,-122.61,48.21,10,WA,-122.612,48.21,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.6:0.09|2.7:0.35|2.8:1
1033,Race Lagoon,Lagoonal Estuary,Salish Sea,-122.6,48.19,-122.59,48.2,38,WA,-122.599,48.193,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.5:23.89|2.6:0.78|2.6.1.1:7.9|2.7:1.08|2.8:2.57
1034,Stillaguamish River,Major River Delta,Salish Sea,-122.5,48.15,-122.2,48.29,24597,WA,-122.405,48.21,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:6082.33|2.6:4639.31|2.6.1:16.78|2.6.1.1:2019.14|2.7:48.04|2.7.1:4.79|2.7.1.1:24.82|2.8:49.44|2.8.1:66.8
1035,Triangle Cove,Lagoonal Estuary,Salish Sea,-122.48,48.19,-122.46,48.21,275,WA,-122.473,48.199,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:108.44|2.6:33.63|2.6.1.1:4.68|2.7:1.91|2.8:0.58
1036,Crockett Lake,Lagoonal Estuary,Salish Sea,-122.68,48.16,-122.62,48.17,909,WA,-122.664,48.167,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,0,2.6:374.32|2.7:14.12|2.8:7.7
1037,Camano Country Club,Lagoonal Estuary,Salish Sea,-122.48,48.16,-122.47,48.17,23,WA,-122.469,48.162,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.6:0.16|2.7:0.01|2.8:1.2
1038,Saratoga Pass Tidelands,Lagoonal Estuary,Salish Sea,-122.58,48.15,-122.57,48.16,20,WA,-122.571,48.152,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.5:6.03|2.6:2.72|2.6.1.1:5.55|2.7:0.78|2.8:1.08
1039,Elger Bay,Lagoonal Estuary,Salish Sea,-122.48,48.13,-122.47,48.13,78,WA,-122.473,48.132,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:0.05|2.6:2.81|2.6.1.1:30.06|2.7:0.94|2.8:0.62
1040,Lake Hancock,Lagoonal Estuary,Salish Sea,-122.6,48.11,-122.58,48.12,202,WA,-122.593,48.113,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,0,2.6:0.21|2.6.1.1:128.07|2.8:8.87
1041,Lagoon Point,Embayment/Bay,Salish Sea,-122.61,48.07,-122.61,48.08,57,WA,-122.611,48.079,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,0,2.5:0.35|2.6:3.24|2.7:1.05|2.8:2.26
1042,Tulalip Bay,Embayment/Bay,Salish Sea,-122.29,48.05,-122.27,48.07,387,WA,-122.283,48.058,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:209.98|2.6:1.24|2.6.1.1:2.1|2.7:0.98|2.8:2.31
1043,Snohomish River,Major River Delta,Salish Sea,-122.28,47.73,-121.96,48.08,23322,WA,-122.238,48.018,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:2069.63|2.6:10377.1|2.6.1:355.3|2.6.1.1:624.83|2.7:1002.7|2.7.1:317.67|2.8:1382.32|2.8.1:270.9
1044,Deer Lagoon / Useless Bay,Embayment/Bay,Salish Sea,-122.52,47.97,-122.46,48.01,1643,WA,-122.49,47.993,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,0,2.5:420.87|2.6:458.27|2.6.1.1:15.23|2.7:54.86|2.8:27.73
1045,Maxwelton,Lagoonal Estuary,Salish Sea,-122.44,47.94,-122.43,47.95,208,WA,-122.436,47.945,,,,,,,,,,,,,,P,,2,999,5,2.5:0.47|2.6:162.33|2.7:24.93|2.8:14.07
1046,Cultus Bay,Embayment/Bay,Salish Sea,-122.42,47.9,-122.39,47.93,887,WA,-122.4,47.917,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,0,2.5:497.95|2.6:124.16|2.6.1.1:18.86|2.7:14.9|2.8:12.66
1047,Appletree Cove,Embayment/Bay,Salish Sea,-122.51,47.79,-122.5,47.8,144,WA,-122.503,47.794,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,0,2.5:13.67|2.6:2.4|2.6.1.1:6.27|2.7:1.29|2.8:5.26
1048,Miller Bay,Riverine Estuary,Salish Sea,-122.56,47.74,-122.53,47.77,453,WA,-122.554,47.754,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,0,2.5:53.4|2.6:4.37|2.6.1.1:3.06|2.7:2.63|2.8:7.35
1049,Doe-Kag-Wats,Lagoonal Estuary,Salish Sea,-122.5,47.74,-122.49,47.75,40,WA,-122.497,47.746,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,0,2.5:6.79|2.6:6.81|2.6.1.1:8.61|2.7:0.54|2.8:0.5
1050,Liberty Bay,Embayment/Bay,Salish Sea,-122.66,47.69,-122.62,47.75,951,WA,-122.656,47.728,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:185.39|2.6:20.45|2.6.1.1:12.54|2.7:4.28|2.8:9.01
1051,Point Monroe,Lagoonal Estuary,Salish Sea,-122.52,47.7,-122.51,47.71,45,WA,-122.513,47.707,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,0,2.5:1.02|2.6:0.55|2.6.1.1:1.47|2.7:0.27|2.8:2.32
1052,Keyport Lagoon,Embayment/Bay,Salish Sea,-122.62,47.69,-122.61,47.7,69,WA,-122.621,47.696,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:3.65|2.6:0.31|2.7:0.43|2.8:1.62
1053,Port Madison,Embayment/Bay,Salish Sea,-122.55,47.69,-122.53,47.7,175,WA,-122.544,47.696,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.6:3.84|2.7:1.53|2.8:6.67
1054,Salmon Bay,Riverine Estuary,Salish Sea,-122.41,47.66,-122.39,47.67,45,WA,-122.399,47.666,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,0,2.5:0.55|2.6:0.36|2.6.1.1:0.13|2.7:0.31|2.8:0.34
1055,Burke Bay,Riverine Estuary,Salish Sea,-122.63,47.65,-122.61,47.65,51,WA,-122.621,47.65,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.6:0.16|2.6.1.1:0.52|2.7:0.12|2.8:2.85
1056,Fletcher Bay,Embayment/Bay,Salish Sea,-122.58,47.64,-122.57,47.65,55,WA,-122.574,47.645,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:32.1|2.6:1.15|2.7:0.82|2.8:4.3
1057,Clear Creek,Embayment/Bay,Salish Sea,-122.69,47.64,-122.68,47.65,171,WA,-122.688,47.647,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:11.36|2.6:3.39|2.6.1.1:4.28|2.7:0.38|2.8:0.6
1058,Barker Creek,Riverine Estuary,Salish Sea,-122.68,47.63,-122.67,47.64,66,WA,-122.675,47.637,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:21.05|2.6:0.05|2.7:0.06|2.8:0.78
1059,Eagle Harbor,Embayment/Bay,Salish Sea,-122.54,47.61,-122.49,47.63,264,WA,-122.529,47.622,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,3,0,2.5:30.45|2.6:5.35|2.6.1.1:2.33|2.7:2.05|2.8:5.74
1060,Chico Creek,Riverine Estuary,Salish Sea,-122.71,47.6,-122.69,47.61,146,WA,-122.703,47.606,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:82.97|2.6:0.92|2.6.1.1:14.16|2.7:0.66|2.8:1.47
1061,Schel-chelb,Embayment/Bay,Salish Sea,-122.56,47.6,-122.54,47.6,75,WA,-122.551,47.602,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:36.83|2.6:2.6|2.7:0.03|2.8:0.02
1062,Phinney Bay,Embayment/Bay,Salish Sea,-122.67,47.58,-122.66,47.59,103,WA,-122.665,47.585,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:46.95|2.6:1.49|2.6.1.1:1.24|2.7:0.68|2.8:4.47
1063,Oyster Bay,Embayment/Bay,Salish Sea,-122.68,47.57,-122.67,47.59,197,WA,-122.675,47.573,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:61.22|2.6:1.09|2.6.1.1:4.47|2.7:0.54|2.8:3.22
1064,Clam Bay,Embayment/Bay,Salish Sea,-122.55,47.56,-122.54,47.58,120,WA,-122.55,47.57,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:19.94|2.6:1.17|2.7:0.98|2.8:2.3
1065,Duwamish River,Major River Delta,Salish Sea,-122.36,47.36,-122.22,47.59,1213,WA,-122.348,47.567,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,0,2.5:13.65|2.6:23.62|2.6.1.1:12.43|2.7:16.26|2.7.1:2.45|2.7.1.1:12|2.8:15.86
1066,Gorst Creek,Embayment/Bay,Salish Sea,-122.7,47.53,-122.68,47.53,201,WA,-122.687,47.53,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,1,2.5:98.81|2.6:1.21|2.6.1.1:15.75|2.7:1.54|2.8:0.57|2.8.1:0.01
1067,Curley Creek,Riverine Estuary,Salish Sea,-122.55,47.52,-122.54,47.53,120,WA,-122.547,47.522,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,3,0,2.5:76.23|2.6:2.09|2.7:1.02|2.8:3.37
1068,Harper,Embayment/Bay,Salish Sea,-122.52,47.51,-122.51,47.52,54,WA,-122.516,47.517,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,3,0,2.5:20.89|2.6:0.34|2.6.1.1:8.41|2.7:0.54|2.8:0.31
1069,Miller Creek,Riverine Estuary,Salish Sea,-122.36,47.44,-122.35,47.45,97,WA,-122.358,47.442,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,3,0,2.5:63.05|2.6:1.91|2.7:0.68|2.8:1.32
1070,Olalla Creek,Riverine Estuary,Salish Sea,-122.55,47.42,-122.54,47.43,64,WA,-122.545,47.422,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,3,0,2.5:4.27|2.6:3.09|2.6.1.1:3.38|2.7:1.83|2.8:2.34
1071,Gig Harbor,Embayment/Bay,Salish Sea,-122.59,47.33,-122.57,47.35,128,WA,-122.586,47.34,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,3,2,2.5:1.68|2.6:0.69|2.7:0.89|2.8:5.67
1072,Puyallup River,Major River Delta,Salish Sea,-122.45,47.19,-122.26,47.29,1346,WA,-122.418,47.258,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,P,2,2,0,2.5:48.92|2.6:60.08|2.6.1:0.56|2.6.1.1:13.05|2.7:26.85|2.7.1:11.76|2.8:31.32|2.8.1:10.01
1073,Burley Lagoon,Embayment/Bay,Salish Sea,-122.64,47.38,-122.63,47.41,574,WA,-122.631,47.405,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:6.61|2.6:12.19|2.6.1.1:38.1|2.7:5.82|2.8:9.75
1074,Minter Creek,Riverine Estuary,Salish Sea,-122.7,47.35,-122.69,47.37,187,WA,-122.695,47.36,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:5.89|2.6:5.27|2.6.1.1:6.36|2.7:2.48|2.8:6.93
1075,Glen Cove,Embayment/Bay,Salish Sea,-122.74,47.33,-122.72,47.35,87,WA,-122.731,47.342,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:1.23|2.6:2.13|2.6.1.1:0.9|2.7:0.67|2.8:1.98
1076,Wollochet Bay,Embayment/Bay,Salish Sea,-122.62,47.29,-122.6,47.3,114,WA,-122.611,47.294,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:29.13|2.6:1.74|2.6.1.1:3.35|2.7:2.02|2.8:4.04
1077,Days Island Harbor,Embayment/Bay,Salish Sea,-122.56,47.24,-122.56,47.25,45,WA,-122.56,47.241,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:0.39|2.6:0.85|2.6.1.1:2.19|2.7:0.04|2.8:0.34
1078,Chambers Creek,Riverine Estuary,Salish Sea,-122.59,47.18,-122.57,47.2,100,WA,-122.58,47.185,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:2.34|2.6:0.56|2.6.1.1:2.89|2.7:0.2|2.8:1.1
1079,West Filucy Bay,Embayment/Bay,Salish Sea,-122.76,47.21,-122.75,47.21,21,WA,-122.756,47.209,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.6:0.11|2.7:0.31|2.8:0.99
1080,East Oro Bay,Embayment/Bay,Salish Sea,-122.7,47.14,-122.69,47.15,125,WA,-122.7,47.148,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:3.78|2.6:2.69|2.6.1.1:10.46|2.7:2.02|2.8:1.98
1081,Oro Bay,Embayment/Bay,Salish Sea,-122.71,47.13,-122.7,47.15,138,WA,-122.707,47.143,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:3.94|2.6:8.01|2.6.1.1:5.97|2.7:1.97|2.8:3.45
1082,Nisqually River,Major River Delta,Salish Sea,-122.75,47.02,-122.67,47.12,4865,WA,-122.711,47.094,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:1064.7|2.6:1349.09|2.6.1.1:661.9|2.7:74.57|2.7.1:8.26|2.8:161.59|2.8.1:23.04
1083,Mill Bight,Embayment/Bay,Salish Sea,-122.8,47.15,-122.79,47.16,35,WA,-122.799,47.152,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:12.46|2.6:0|2.7:0|2.8:1.76
1084,Taylor Bay,Embayment/Bay,Salish Sea,-122.78,47.18,-122.77,47.19,45,WA,-122.776,47.186,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:23.89|2.6:0.13|2.7:0.11|2.8:2.2
1085,Henderson Inlet,Embayment/Bay,Salish Sea,-122.86,47.08,-122.82,47.14,819,WA,-122.834,47.12,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:58.59|2.6:8.06|2.6.1:18.55|2.6.1.1:10.79|2.7:6.53|2.7.1:2.01|2.8:26.36
1086,Big Fishtrap,Embayment/Bay,Salish Sea,-122.87,47.15,-122.85,47.16,47,WA,-122.863,47.157,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:37.73|2.6:0.13|2.7:0.24|2.8:4.4
1087,Gull Harbor,Embayment/Bay,Salish Sea,-122.9,47.11,-122.88,47.12,63,WA,-122.888,47.114,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:19.05|2.6:0.07|2.7:0.46|2.8:3.94
1088,Deschutes River,Major River Delta,Salish Sea,-122.92,47.02,-122.89,47.07,941,WA,-122.909,47.034,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:4.37|2.6:4.67|2.6.1.1:11.36|2.7:14.06|2.8:17.42
1089,Mud Bay,Embayment/Bay,Salish Sea,-123.02,47.03,-122.98,47.09,986,WA,-123.006,47.059,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.6:14.42|2.6.1.1:43.6|2.7:13.92|2.8:16.95|2.8.1:3.3
